GeoFips,GeoName,2015,2016,2017,2018,2019,2020
1000,Alabama,200197.5,204454.7,210895.7,221030.7,228142.6,224870.6
2000,Alaska,50728.1,49755.6,51737,54292.9,54385.6,50246.7
4000,Arizona,298615,313056.5,330146.6,350718.3,370119.1,372461
5000,Arkansas,117734.3,119191.8,122978.5,127761.3,130954.1,129073.9
6000,California,2559643.2,2671100.5,2831038.4,2975083,3132800.6,3091871.5
8000,Colorado,317992.4,327757.3,348175.5,372452.9,392986,390098.7
9000,Connecticut,262372.7,266747.3,272569.9,279782.3,287822.2,280900.3
10000,Delaware,71547.8,69284.2,69899.4,74186.7,77082.4,75512.5
11000,District of Columbia,124853.7,129477.1,132853.6,138773.5,143389.3,143532.7
12000,Florida,897754.7,941561.2,990096.6,1050298.4,1106500.1,1095888.2
13000,Georgia,515753,541292.2,568398.9,602023.9,625713.6,619240
15000,Hawaii,82644,85899.9,89618.6,93100.5,95744.3,89856.2
16000,Idaho,66082,69075.5,73286.5,79090.8,83665.5,84032.2
17000,Illinois,795326.1,803943.7,823776.2,863039.5,885583,863516.7
18000,Indiana,329527.7,337217.2,350436.3,368424.5,379684.1,372636.7
19000,Iowa,179459.2,179939.8,182151.3,190147,194658.1,192710.2
20000,Kansas,154015.6,159232.8,163968.3,171718.8,176493.1,173298.3
21000,Kentucky,192819.3,195840.2,200345.5,207849.4,215398.9,210024.2
22000,Louisiana,231751.8,223409.5,235712.2,253236.1,256918.5,241990.8
23000,Maine,57559.8,59754.2,61671.5,64557,67717.1,66196
24000,Maryland,370768.3,387620.2,399737.6,411619.1,426747.4,422726.4
25000,Massachusetts,503178.5,519143.5,539973.4,570464.2,596593.1,584039
26000,Michigan,473149.5,488962.6,501914.9,521803.4,536888.3,515928.3
27000,Minnesota,333065.8,341696.3,353416.4,371929.7,383777,374351.8
28000,Mississippi,105427.9,106492.9,109431.1,113578.5,115971.3,114200.6
29000,Missouri,293938.3,297752.6,305471.4,317949.1,328400.6,321708.8
30000,Montana,46269.3,45680.3,47946.9,50692.3,52934.6,51488.7
31000,Nebraska,115663.9,116879.2,120949.7,124705.4,130011.8,128808.7
32000,Nevada,143554,150287.3,158502.8,169179.6,178199.4,172597.6
33000,New Hampshire,75832,78509,80838.4,84584.1,87634.1,85109.3
34000,New Jersey,569116.5,581504.4,590696.6,612979.3,634783.6,619061.1
35000,New Mexico,91322,91240.2,94456.7,100079.9,105143.4,100310.1
36000,New York,1485620.8,1545987.7,1608890.2,1705010.2,1772260.7,1699044.7
37000,North Carolina,502808.4,520356.6,541040.7,567451.7,591600.9,586136.2
38000,North Dakota,55069.1,50792.3,52607.1,56286.8,57180.9,54032.9
39000,Ohio,609321.7,621542.6,642351.4,675029.7,695361.6,675037.3
40000,Oklahoma,184140.4,177813,185485.6,198595.8,202036.1,186581.4
41000,Oregon,202718.6,214617.5,227042.2,241978.1,253623.2,250458.5
42000,Pennsylvania,711787.2,726884.5,745140.8,778374.6,808737.5,780176.1
44000,Rhode Island,56560.7,57529.4,58117.2,59924.6,61883.8,60224.7
45000,South Carolina,204000.4,213584.6,223414,235286.9,247543.8,241688.7
46000,South Dakota,47630.5,48731.3,50342.9,53239,54940.9,54852.1
47000,Tennessee,323658.5,334435.7,346283,362737.1,376582.4,364485.9
48000,Texas,1564374.3,1567687.1,1665428,1795635.1,1843802.7,1759734.4
49000,Utah,148917.8,157442.7,167613.4,181622.7,192519.2,194985.8
50000,Vermont,30663.7,31430.4,32040.7,32981,34013.4,32796.7
51000,Virginia,484530.8,496570.2,511876.3,533510.4,556905.2,551760.3
53000,Washington,471702.8,493634.5,527707.5,575416.7,612996.5,618704.9
54000,West Virginia,70815.9,70006.2,72853.1,77632.5,78863.9,73709.2
55000,Wisconsin,306498.9,313440.2,320610,337553.1,349416.5,338678.4
56000,Wyoming,37860.7,35704,37271.2,39703.2,40420.1,36241.5
91000,New England,986167.4,1013113.8,1045211.2,1092293.2,1135663.7,1109265.9
92000,Mideast,3333694.3,3440758.1,3547218.2,3720943.4,3863001,3740053.4
93000,Great Lakes,2513823.8,2565106.2,2639088.9,2765850.2,2846933.4,2765797.3
94000,Plains,1178842.4,1195024.3,1228907.2,1285975.7,1325462.4,1299762.8
95000,Southeast,3847252.4,3967195.8,4133325.6,4352396.9,4531095.2,4453068.4
96000,Southwest,2138451.7,2149796.8,2275516.9,2445029.1,2521101.2,2419086.8
97000,Rocky Mountain,617122.2,635659.9,674293.4,723561.8,762525.5,756847
98000,Far West,3510990.7,3665295.2,3885646.5,4109050.7,4327749.6,4273735.3
