GeoFips,GeoName,2015,2016,2017,2018,2019,2020
1000,Alabama,1.1,1.1,1.1,1.1,1.1,1.1
2000,Alaska,0.3,0.3,0.3,0.3,0.3,0.2
4000,Arizona,1.6,1.7,1.7,1.7,1.7,1.8
5000,Arkansas,0.6,0.6,0.6,0.6,0.6,0.6
6000,California,14,14.2,14.5,14.4,14.6,14.8
8000,Colorado,1.7,1.7,1.8,1.8,1.8,1.9
9000,Connecticut,1.4,1.4,1.4,1.4,1.3,1.3
10000,Delaware,0.4,0.4,0.4,0.4,0.4,0.4
11000,District of Columbia,0.7,0.7,0.7,0.7,0.7,0.7
12000,Florida,4.9,5,5.1,5.1,5.2,5.2
13000,Georgia,2.8,2.9,2.9,2.9,2.9,3
15000,Hawaii,0.5,0.5,0.5,0.5,0.4,0.4
16000,Idaho,0.4,0.4,0.4,0.4,0.4,0.4
17000,Illinois,4.4,4.3,4.2,4.2,4.1,4.1
18000,Indiana,1.8,1.8,1.8,1.8,1.8,1.8
19000,Iowa,1,1,0.9,0.9,0.9,0.9
20000,Kansas,0.8,0.8,0.8,0.8,0.8,0.8
21000,Kentucky,1.1,1,1,1,1,1
22000,Louisiana,1.3,1.2,1.2,1.2,1.2,1.2
23000,Maine,0.3,0.3,0.3,0.3,0.3,0.3
24000,Maryland,2,2.1,2,2,2,2
25000,Massachusetts,2.8,2.8,2.8,2.8,2.8,2.8
26000,Michigan,2.6,2.6,2.6,2.5,2.5,2.5
27000,Minnesota,1.8,1.8,1.8,1.8,1.8,1.8
28000,Mississippi,0.6,0.6,0.6,0.6,0.5,0.5
29000,Missouri,1.6,1.6,1.6,1.5,1.5,1.5
30000,Montana,0.3,0.2,0.2,0.2,0.2,0.2
31000,Nebraska,0.6,0.6,0.6,0.6,0.6,0.6
32000,Nevada,0.8,0.8,0.8,0.8,0.8,0.8
33000,New Hampshire,0.4,0.4,0.4,0.4,0.4,0.4
34000,New Jersey,3.1,3.1,3,3,3,3
35000,New Mexico,0.5,0.5,0.5,0.5,0.5,0.5
36000,New York,8.1,8.2,8.2,8.3,8.3,8.1
37000,North Carolina,2.8,2.8,2.8,2.8,2.8,2.8
38000,North Dakota,0.3,0.3,0.3,0.3,0.3,0.3
39000,Ohio,3.3,3.3,3.3,3.3,3.2,3.2
40000,Oklahoma,1,0.9,0.9,1,0.9,0.9
41000,Oregon,1.1,1.1,1.2,1.2,1.2,1.2
42000,Pennsylvania,3.9,3.9,3.8,3.8,3.8,3.7
44000,Rhode Island,0.3,0.3,0.3,0.3,0.3,0.3
45000,South Carolina,1.1,1.1,1.1,1.1,1.2,1.2
46000,South Dakota,0.3,0.3,0.3,0.3,0.3,0.3
47000,Tennessee,1.8,1.8,1.8,1.8,1.8,1.7
48000,Texas,8.6,8.4,8.5,8.7,8.6,8.4
49000,Utah,0.8,0.8,0.9,0.9,0.9,0.9
50000,Vermont,0.2,0.2,0.2,0.2,0.2,0.2
51000,Virginia,2.7,2.6,2.6,2.6,2.6,2.6
53000,Washington,2.6,2.6,2.7,2.8,2.9,3
54000,West Virginia,0.4,0.4,0.4,0.4,0.4,0.4
55000,Wisconsin,1.7,1.7,1.6,1.6,1.6,1.6
56000,Wyoming,0.2,0.2,0.2,0.2,0.2,0.2
91000,New England,5.4,5.4,5.3,5.3,5.3,5.3
92000,Mideast,18.3,18.4,18.2,18.1,18,17.9
93000,Great Lakes,13.8,13.7,13.5,13.4,13.3,13.2
94000,Plains,6.5,6.4,6.3,6.2,6.2,6.2
95000,Southeast,21.1,21.2,21.1,21.1,21.1,21.3
96000,Southwest,11.7,11.5,11.6,11.9,11.8,11.6
97000,Rocky Mountain,3.4,3.4,3.5,3.5,3.6,3.6
98000,Far West,19.3,19.6,19.9,19.9,20.2,20.4
